condition,max_hit_rate,min_hit_rate,max_fa_rate,min_fa_rate,max_hit_rate_participant,min_hit_rate_participant,max_fa_rate_participant,min_fa_rate_participant
0,0.9778196710182107,0.8311045482429412,0.16867946696875227,0.023203253216484924,6,2,5,6
1,0.9739313486988481,0.8288420531189388,0.16706719712602755,0.026517842339511374,6,2,2,6
2,0.7951284376790319,0.6230288240329996,0.3687571133400584,0.19814274466112927,6,5,5,6
3,0.7841818193171826,0.6062919397039578,0.3881445341633701,0.18941606432457656,6,5,2,6
