condition,max_hit_rate,min_hit_rate,max_fa_rate,min_fa_rate,max_hit_rate_participant,min_hit_rate_participant,max_fa_rate_participant,min_fa_rate_participant
Easy Complex,0.9740700592714387,0.8286407977263778,0.1669911783746473,0.026458602783369894,6,2,2,6
Easy Simple,0.9778855045719033,0.8310163148627085,0.168712107766829,0.02316752432391025,6,2,5,6
Hard Complex,0.7844405861477165,0.6060946668489796,0.38814342844980015,0.18937063034691803,6,5,2,6
Hard Simple,0.7951569311292274,0.6230539807429984,0.36854904734106303,0.19834207861073927,6,5,5,6
