d_Easy Simple,d_Easy Complex,d_Hard Simple,d_Hard Complex,pnum,c_Easy Simple,c_Easy Complex,c_Hard Simple,c_Hard Complex
6.3535318593870835,6.219932361013833,2.126567409036998,2.164420317767165,1,3.1788916648770615,3.226292162249868,1.0656073866512865,0.981789881053256
3.283271261993214,3.1837971999716417,1.1613479367556223,0.991278776008126,2,1.6904399830416448,1.6066151857246689,0.6258675027086721,0.45449095711524545
5.194291520074103,5.224119679134563,1.6989278833606738,1.6682881127738562,3,2.4841063462055812,2.670731301252248,0.8529878237761412,0.8062840178417443
4.47109600225083,4.065759017733363,1.4061010642731293,1.4920313651314998,4,2.3300101153988897,2.020382867905122,0.7075090267595663,0.8019513556867228
3.275169436143127,3.2390225607964442,1.0406434359913141,0.9115550705320568,5,1.594781773531606,1.641435362206462,0.5377285758772432,0.4788647743735661
7.526005257287882,7.2271163860982774,2.752669993152207,2.744059965543512,6,3.739769740510305,3.602807708447584,1.3964292007771264,1.4526730404275447
5.933292976353408,6.20743497701435,2.013218126304168,2.0396966398126812,7,2.943984692286794,3.0092730399340923,1.0061131895419198,1.0480233133867682
6.427441685579282,6.438323075511332,2.2371879605539973,2.2754406131954754,8,3.223462174396897,3.3561243588836716,1.1194653824034309,1.0256557500000305
4.799138347414354,5.192380681241376,1.6398809112827983,1.6404801400209452,9,2.402193697051905,2.6229391368560466,0.7343632287909779,0.8553936002246377
5.785737483082986,5.796640451873841,2.004261249782561,1.9060134953007932,10,2.7394659980948335,2.8781471376875216,1.0006823915172582,0.9734544056956778
