d_0,d_1,d_2,d_3,pnum,c_0,c_1,c_2,c_3
6.353369865091922,6.22549157472386,2.1265047862912,2.165708346046973,1,3.174947960414145,3.2283194296429243,1.0660054498537974,0.9819425549950902
3.283713241031735,3.1826784251792684,1.164518327432724,0.9919175268119915,2,1.6915018788890357,1.6063651262483465,0.6268809759016871,0.45552055369451616
5.1923060965355585,5.223758116795753,1.69735439961897,1.6714092890635923,3,2.4841129161559437,2.669763779655366,0.8527287898485647,0.8070847132861396
4.4697713747923125,4.063297927944393,1.4046162603123216,1.4900099308717571,4,2.329657107575165,2.0190121835408195,0.7065862680550603,0.8020996818113743
3.275402990229366,3.2379818232574262,1.041610202387507,0.9115625610547868,5,1.5959860213786077,1.639973809018171,0.5376749820893757,0.4795140366188712
7.5336274229139155,7.22318772869003,2.753123235550698,2.746132361099025,6,3.7439389878270006,3.5997715116765483,1.3978627487559196,1.4544325769223783
5.9300294563206535,6.20689340137687,2.012751316968875,2.0414266855002396,7,2.942368357776962,3.009578522824335,1.0063312303683702,1.047789950871721
6.428649297868661,6.435502755507135,2.236463417702868,2.275512288871143,8,3.2250414841524875,3.3528983661866905,1.1202081311907406,1.0265223575271691
4.797584508928466,5.191338615726302,1.638942292757722,1.638865246125317,9,2.4025178465948733,2.6238903461665495,0.7344789252371716,0.8544347451101895
5.7834060945733485,5.79414372125193,2.0024812917420096,1.9062882625513957,10,2.7378572047907874,2.8780555479995997,0.9989677292820617,0.9731070882944469
