pnum,condition,hit_rate,fa_rate
1,0,0.9600818052893856,0.03999204341607815
2,0,0.8309048325535014,0.15579391169982687
3,0,0.9375548037151542,0.07692305222245009
4,0,0.8950084765649691,0.0886235114236445
5,0,0.8431995730895815,0.1686994620034667
6,0,0.9778662950968152,0.023179781497789126
7,0,0.9522027534531693,0.049986591198237694
8,0,0.9610522684149907,0.038206345889177484
9,0,0.9163451486000508,0.0831272278234269
10,0,0.9546127307317368,0.06059358691755249
1,1,0.9522132861415983,0.03819093261508266
2,1,0.8287393827491669,0.16705461749311498
3,1,0.9276938710029884,0.06480516076779111
4,1,0.885293530877672,0.11716810465248682
5,1,0.8317993695384938,0.1622264077673027
6,1,0.9740954982037924,0.02643705587416819
7,1,0.9609090623054656,0.04697079156159277
8,1,0.9561150315552877,0.033787606361711915
9,1,0.9288093803810852,0.06773653823179407
10,1,0.9488873322420389,0.053254984131807986
1,2,0.7424649523332106,0.2563444813555758
2,2,0.6309823238971782,0.34847652755961256
3,2,0.6995718051795867,0.2988347711072072
4,2,0.6681646538906404,0.330234789249702
5,2,0.6230529730596137,0.36836422705216215
6,2,0.795393455255971,0.1980979190527484
7,2,0.7321138450843302,0.2676347765976752
8,2,0.7536128453993627,0.2462318466761907
9,2,0.7120387494026069,0.3240487490013175
10,2,0.7319182490008594,0.2688458640627734
1,3,0.7655165370492649,0.2725336822439974
2,3,0.631012697695138,0.38818642556492716
3,3,0.7034585540262076,0.30842944447006915
4,3,0.6659172641480168,0.30977981332288196
5,3,0.6066932164095553,0.3826004929023445
6,3,0.784213516602603,0.18949864143764608
7,3,0.7295668743734721,0.2592099790508746
8,3,0.7772327162621405,0.2638622178601397
9,3,0.6866073064311646,0.2983827878663562
10,3,0.7176382120271505,0.2742511475425885
