condition,max_hit_rate,min_hit_rate,max_fa_rate,min_fa_rate,max_hit_rate_participant,min_hit_rate_participant,max_fa_rate_participant,min_fa_rate_participant
0,0.9778445122644319,0.831001119432434,0.16855545083025725,0.02310652615403935,6,2,5,6
1,0.9739666916342472,0.8289640799701659,0.16715538419449907,0.026548707580269358,6,2,2,6
2,0.7954679090520559,0.6232639322858966,0.36865248470718937,0.19836090382759464,6,5,5,6
3,0.7846702319787537,0.6064890402009385,0.3879397260939681,0.1892733017525902,6,5,2,6
