d_0,d_1,d_2,d_3,pnum,c_0,c_1,c_2,c_3
6.35844731973984,6.218259236630286,2.1238755938413743,2.1649712411956354,1,3.17826105280603,3.226217834975727,1.0650557448092697,0.9818054883266429
3.2819161795168257,3.1833665194844363,1.162175852754952,0.991505669798731,2,1.6898625902308917,1.6066472629943358,0.6257425490582477,0.45494191668033096
5.193892898453616,5.221162550784303,1.6981124160708287,1.6712940345398546,3,2.4849069976552127,2.6693696501200126,0.8528527481596058,0.8074720664139818
4.473512464636187,4.06306794839388,1.4070190657844692,1.4909256526895862,4,2.330558893092436,2.019525107983195,0.7071233352018546,0.8011488923049176
3.277102428170916,3.2401887228494313,1.0417676019541644,0.911958295004448,5,1.5948725872374574,1.64175494930598,0.5392407232741224,0.4785249684139388
7.529293602393326,7.23328840083989,2.755973121205615,2.7436630719488107,6,3.741022209752326,3.6061958226934228,1.3982250577104598,1.4532711620748044
5.936531259811884,6.212108708422262,2.0120299841768507,2.042504942038437,7,2.9447213055958716,3.0101195997332217,1.0066560514060536,1.0500787494385038
6.431606571955409,6.434595994386201,2.2367859440100952,2.275602396114315,8,3.225798306322678,3.353289619677596,1.1188112735097133,1.025990240339656
4.794290090913988,5.1905321836897835,1.6405334038828001,1.6393162944124604,9,2.40059641959348,2.621989716707449,0.7352269951803704,0.8550107881917317
5.787133226869863,5.799196104508203,2.004862925465063,1.9059361126146328,10,2.7410591393230233,2.8779384033746553,1.0004860744702975,0.9731597382813949
5.306372604246186,5.2795766369988675,1.808313590914621,1.783767771035691,overall,2.633165950160941,2.66330479675656,0.9049420552779994,0.8881404010465902
